"mz","rt","SPC.15V.1","SPC.30V.1","SPC.45V.1","mzinmgf","rtinmgf","mz_ms2","int_ms2","CE"
192.0639183,92.198,53081.77032,54987.64546,54853.59713,192.06527,92,146.0609,10829,15
209.0956332,92.198,54502.60361,66437.83728,62535.45433,209.09155,92,192.0661,19949,15
125.1096988,95.6545,15062.11062,26446.79607,29860.04786,125.112,95,107.0812,7419,30
171.1195016,95.665,22821.49227,21359.64908,70467.16181,171.11729,96,125.1133,50792,15
232.0312303,94.371,33161.33594,46238.324,53384.38608,232.02696,95,152.0706,16278,15
328.1439038,98.075,83926.5777,97147.4364,80438.65805,328.13876,96,310.1281,22023,15
103.0550781,98.075,12863.61742,149549.605,15935.94857,103.05463,96,77.0409,37938,30
120.0788163,98.114,24061.467,25664.25115,11858.524,120.08098,95,77.0412,167146,30
166.0810302,97.294,70397.68832,21671.95161,405073.45,166.08575,98,120.0809,344757,15
380.0943442,95.644,11127.1563,14780.3049,9862.569231,380.09563,96,204.0645,754,15
131.0501902,98.075,56710.9645,39698.85459,63069.54675,131.04854,96,103.0554,46921,15
149.0546237,97.274,36651.44811,22955.16467,16060.11222,149.05942,96,77.0415,35545,45
397.1100006,97.274,22416.27131,16536.63956,14995.57364,397.10969,96,210.0514,1803,30
523.1920772,96.474,27640.52538,17198.03582,15365.41286,523.19272,97,166.087,942.6819,15
93.06974075,98.121,7435.006667,10580.41716,9138.145556,93.07059,97,77.0416,1171.6847,15
534.1896435,97.294,36229.05245,46272.95735,44617.09091,534.18832,96,369.1132,2233,30
312.1301288,97.298,15392.15133,7616.463944,9007.11,312.12904,100,180.0872,8088,15
390.1156589,98.924,10142.852,12077.4452,10050.7708,390.11492,101,210.0487,2796,15
342.158834,100.5655,70209.657,107045.5647,49351.404,342.15578,100,110.0727,10946,30
100.0766255,102.973,24913.49,25408.66846,21622.10958,100.07598,103,56.0536,43897,15
220.1181216,114.577,29343.77413,20729.55453,29406.84,220.11746,115,202.1072,2550,15
152.0707679,119.342,32716.23561,24510.15044,38779.92074,152.07025,119,110.0611,53453,15
267.1713893,122.757,80369.19994,70947.45083,76370.34348,267.16999,122,145.065,6997,30
232.152741,139.081,167480.3694,91521.17333,51520.48256,232.15436,137,85.0304,26200,30
188.0697523,148.101,35447.3385,30943.72005,53385.13478,188.07095,148,146.0598,258010,15
205.0956524,148.101,65183.08384,187756.4301,46798.76968,205.0974,148,188.0702,314275,15
187.1435188,137.486,19447.491,21425.7165,18863.29368,187.14378,138,145.1349,1327,15
181.072698,138.271,56708.112,145190.8104,253762.89,181.07186,137,124.0512,166891,30
185.1260421,139.906,74082.84419,72734.8485,49620.29496,185.12844,141,126.092,84468,15
207.104623,148.098,28816.508,25645.36189,14657.85682,207.10223,150,190.0782,13254,15
367.1493618,139.952,123489.4761,126621.414,112888.584,367.1503,140,349.1378,9173,15
334.1401114,141.545,33308.50233,30886.525,31312.03844,334.14081,143,317.1144,3293,15
187.4872211,148.101,17048.9,11268.15459,20433.36475,187.49537,149,115.0543,2104,45
210.1240273,144.842,87210.47817,12436.78713,140424.3715,210.12841,146,192.0954,178376,15
150.0839647,144.842,19727.4414,25429.01508,17994.33167,150.08478,146,122.0906,2942,15
192.0969678,144.842,30186.17524,32981.58556,79199.79333,192.09545,146,150.0856,112403,15
164.1213811,144.8285,11973.94317,10322.21288,12200.2936,164.1221,146,137.1128,1508,15
146.0606216,148.101,119417.3478,20186.76628,41661.04906,146.05959,150,118.0667,23613,15
160.0913309,148.101,25546.43068,26404.29356,11773.899,160.09482,147,133.0842,2125,15
227.0781139,148.101,59365.24868,67109.07553,54770.6943,227.07841,146,146.0607,3285,30
258.0082535,148.101,14339.63,14222.6135,7106.149889,258.00703,147,214.0167,1291,15
414.2177918,146.478,25108.54909,20234.11842,6799.090909,414.21934,146,188.0705,8147,30
