mz,tr,SPC.15V.1,SPC.30V.1,SPC.45V.1
150.0250622,913.909,41926.6,96748.86979,341435.2645
150.0263703,1249.78,40241.72667,28195.12263,43755.32778
150.0839647,144.842,19727.4414,25429.01508,17994.33167
150.026798,1303.59,40169.04158,41731.66667,40127.84632
150.0263713,832.6845,21517.94353,16724.49989,24613.27539
151.0283569,913.924,19160.94,35487.53905,10630.65175
151.0610765,71.798,8241.950563,9481.831625,12831.58359
193.1028212,144.842,76727.047,11536.69286,47090.8635
151.0752697,461.262,15802.63578,18057.8076,19226.445
151.0748643,531.467,16139.62093,18161.0485,18591.088
151.0286662,1249.78,10629.67111,11339.71316,11422.46
153.0724368,63.063,58924.6392,54517.43411,65515.35473
153.0725195,119.497,18780.872,21644.66656,23906.60921
153.125979,1131.79,18447.20444,18536.00842,16995.68406
153.1258577,220.261,13770.34611,11642.852,13728.76572
172.1350446,183.973,9042.403438,9181.660125,29435.67212
156.0777906,43.802,27939.73165,33386.03544,24263.87312
156.1375278,291.689,10196.19389,10478.93333,9610.5485
156.1419155,66.447,26671.07733,19262.20613,12198.37125
157.1218161,1131.53,13001.58933,13648.81294,13048.31611
158.0231624,1774.55,214402.1072,156106.4267,364670.8364
158.0226475,1305.71,310639.5884,313486.6714,259736.256
158.022717,1458.12,522703.5147,48270.71333,484293.3885
158.0226607,1134.345,683509.6544,467290.9511,328677.3638
158.0227253,1557.95,273189.0038,240824.33,323676.8374
158.0225686,1036.84,1109574.899,253717.8171,315343.8395
158.0226714,890.11,56011.583,367403.85,670346.1066
158.1164163,48.4745,12309.98022,15165.64525,13882.83013
158.1169316,179.883,16507.41441,18345.44879,21368.167
158.0228078,1662.88,763319.5533,600306.4755,383432.9673
158.1528499,599.814,40507.38267,22956.8596,24260.97468
158.960439,1766.58,63127.82143,75992,64172.73882
158.9638954,41.548,142659.036,66613.6005,123452.2532
159.0886468,148.101,18659.1269,83378.83279,45201.87483
159.1161009,454.632,41074.4035,9626.803333,19003.73521
160.12892,48.251,35453.17404,24113.10717,53248.88226
160.0913309,148.101,25546.43068,26404.29356,11773.899
161.1323709,1297.35,32739.42778,24552.8,34822.20111
161.1324744,757.924,28262.65183,22505.94461,22752.16267
161.0956676,834.3095,17126.79231,16668.278,9297.301067
161.0958832,1108.47,27232.90059,16229.07,16802.67167
162.1064785,48.957,292714.1258,342862.1422,52543.49933
163.1161438,48.297,49987.27958,27202.57346,89259.24225
163.1324243,360.748,29592.745,29986.97761,29376.3155
163.0746976,454.632,15170.2135,18652.6635,18108.96374
163.1071938,1740.58,24691.47879,26143.00167,30206.11077
163.1160318,144.842,11122.092,11031.97732,12832.3736
163.1470592,1130.96,13832.42824,13983.54667,12247.29
164.0287956,47.277,22790.84363,20120.10808,11373.66
164.1213811,144.8285,11973.94317,10322.21288,12200.2936
165.0546843,61.587,88661.46888,249421.5315,29002.33024
166.0810302,97.294,70397.68832,21671.95161,405073.45
167.0331214,1249.78,66371.62,67118.30368,108456.4361
167.0322559,832.689,25883.572,35273.3625,23555.38422
167.0848301,641.155,24862.26356,23040.73662,15947.72667
167.1420719,1131.245,18024.45778,24242.84625,12867.38444
168.0938561,97.274,13324.80431,21043.44159,16088.03
168.036391,1249.7,7627.538462,13698.32,9893.617778
168.1012122,268.5285,11570.56283,14732.27756,12882.04028
169.0420482,49.957,20182.91496,45983.7467,91630.59262
170.0606321,148.101,24211.06947,36777.55284,20039.7835
171.1195016,95.665,22821.49227,21359.64908,70467.16181
171.0618703,148.101,14187.2535,13753.15306,15188.43738
339.1826763,1131.245,110128.5378,81020.92,69226.04
171.1483101,62.397,54193.68564,16477.01033,83083.335
172.1148727,1551.21,95009.8,84285.54105,67706.3475
172.1145569,1195.36,107830.56,140002.9228,142470.5921
177.0975966,61.9,43272.53665,52220.199,50609.62122
173.1178648,1195.33,23157.03789,28972.56353,36205.85526
173.0774343,77.415,17563.92006,11051.9712,15277.01756
174.0118328,50.636,22399.97025,10889.3812,19456.63173
174.1830472,243.079,27617.13956,23958.4005,35924.57488
175.1168809,42.408,43482.58147,47414.74737,48418.34183
175.14734,1297.27,21224.90118,15279.70462,14173.83
176.0698283,362.408,43279.07206,42236.79281,49490.59111
177.1266619,1108.47,143302.5622,82074.63158,82652.43158
177.1290525,1051.06,70386.365,38595.43333,44385.08
265.2484501,1130.96,861309.8311,17316.87333,83038.29111
178.1288181,1108.1,65574.43211,118425.06,64128.80444
178.1049287,61.7435,15025.18267,16846.3035,10563.20933
179.9863996,272.793,17608.84388,15251.44,18218.12119
180.0650708,209.298,34889.29776,40887.11889,29417.80933
181.0849672,564.37,28102.5602,20727.04314,19118.679
181.1583729,1131.53,20819.09471,26077.52842,14614.69167
182.0783464,62.536,38785.49952,16846.27544,46405.73859
182.0727587,139.081,23102.86122,43628.15521,30281.2965
267.0585372,60.11,47565.84153,29258.97512,61384.03109
184.0733721,1276.46,83682.4485,30614.3,120335.5115
184.0742227,1230.66,45444.71053,30498.63263,16103.27353
184.0737582,1430.17,36947.41579,38758.42714,49760.9
184.0716332,858.818,21245.01,18232.0636,20506.09879
184.0965092,45.6875,38233.11994,23917.14867,28278.50161
185.1260421,139.906,74082.84419,72734.8485,49620.29496
185.0911919,1737.95,22520.70167,12695.96842,20695.49778
185.1658423,61.9,49001.21227,36926.907,59935.88016
185.1527601,1130.96,28138.96889,34956.11706,24215.96222
186.1115858,49.796,11905.9245,21204.16493,23877.84
186.130867,139.906,19833.902,18203.8275,18916.40135
187.0618247,48.117,30830.63661,46042.52576,60027.64848
187.1435188,137.486,19447.491,21425.7165,18863.29368
187.1423228,61.587,18314.0106,22722.71647,15551.72933
187.4872211,148.101,17048.9,11268.15459,20433.36475
188.0697523,148.101,35447.3385,30943.72005,53385.13478
189.0732862,148.101,61763.5235,65759.79253,60133.88347
190.0763797,148.101,84523.38863,71551.17963,48648.79033
190.0858304,439.873,27547.275,28352.923,25395.0885
327.0506305,41.167,33562.2525,32286.28444,36262.66833
191.089907,145.651,23730.0795,26201.56933,78170.77897
191.1058212,467.062,15900.20763,11552.61343,15527.25563
192.0969678,144.842,30186.17524,32981.58556,79199.79333
192.0639183,92.198,53081.77032,54987.64546,54853.59713
193.0845776,461.262,32544.513,34104.00517,40045.775
194.1043192,144.8315,16565.60267,28462.73217,20493.72283
194.0218543,61.587,34631.77541,27458.28559,10172.482
194.1168458,1737.13,13930.2225,22952.57368,14239.12632
195.0876265,198.712,12905.05418,18315.79983,15787.84438
195.1185953,144.815,23824.49417,54351.63071,50201.817
195.1730319,1131.245,22268.88529,22473.92,18799.99333
196.0905791,198.712,50789.23076,42999.88482,40839.21722
196.8651163,45.808,140207.3215,141667.042,120152.5662
197.1253955,207.618,36199.6395,78571.10541,76209.97888
197.0413315,60.11,13809.34438,12709.70919,16191.61957
198.131535,207.877,13435.94806,11760.13688,12072.10122
198.8600948,45.808,114036.2666,178424.6142,105779.3354
198.9417127,38.238,19914.32308,19094.08985,16233.11769
199.1684707,1130.96,39522.74474,20259.88667,32977.13222
199.1794437,66.447,41032.23676,41991.86094,39850.42026
200.1253781,49.2385,55982.17077,52543.25549,54968.34933
200.2009749,799.241,44473.52222,37301.14444,33172.473
200.8580561,45.808,49751.07469,59428.4383,37740.84235
201.0460798,558.58,31238.18033,25962.30492,23448.00167
201.1590197,115.94,16338.3465,16863.79739,15391.40089
203.0466129,46.648,35458.751,1062638.199,69755.7608
204.111186,61.02,124091.9703,144029.2078,34996.11165
204.086709,1195.3,31038.25053,23030.18778,29017.36842
205.0848503,1238.94,150393.2405,145197.6591,139087.1914
205.0831192,1699.15,153546.428,135313.68,239728.7267
205.0837799,951.732,300595.4817,499544.3358,84865.14343
205.0836496,1564.59,275997.0554,243829.418,518731.5157
205.0867073,1490.71,256858.9725,232370.5039,135637.6914
205.0834877,1108.95,238616.3248,202715.296,143375.5376
205.1199808,49.128,54290.96475,88976.96953,20098.08928
205.0956524,148.101,65183.08384,187756.4301,46798.76968
205.1238101,454.632,105646.6849,97012.68444,96041.78879
206.0985395,148.101,95837.80164,32336.265,42536.45617
206.0917817,913.924,52502.68267,38582.15906,89310.30726
206.0803583,312.201,44360.82467,47174.02363,42464.68512
206.1246769,454.594,21785.32447,19617.67667,18779.31
206.8969264,44.677,62718.00852,38053.96,60282.82822
207.104623,148.098,28816.508,25645.36189,14657.85682
207.0906058,913.909,18828.02,10161.30669,9494.828
207.1446805,61.9,27465.92175,30893.75195,32977.94842
208.8877678,44.108,41639.01867,48191.37833,55582.35
209.1164832,692.808,61750.17056,51172.87219,57218.02111
209.0956332,92.198,54502.60361,66437.83728,62535.45433
210.1240273,144.842,87210.47817,12436.78713,140424.3715
210.036758,412.839,16754.01812,16690.41183,11015.8125
211.0952233,461.262,51910.45411,53915.60833,48025.11
211.1304671,144.842,26372.41983,20173.81771,28581.22133
211.1434114,277.394,76901.10469,67571.41344,69560.16035
212.9989164,48.957,11859.45078,30339.56291,47661.61996
659.5095749,1130.11,80481.45778,75483.27105,61026.18947
214.1001261,1777.595,363451.202,204145.5424,941509.5213
214.1000266,1700.83,288570.247,790919.2638,239594.1673
214.0826913,1598.8,748124.925,1869826.14,306498.95
214.0820945,1290.64,830542.4748,881554.0696,403409.1667
214.0819357,1412.3,930935.2667,1174246.355,1420931.692
214.082276,1464.02,1302215.1,316646.0288,980492.94
214.0820124,1129.21,576691,145760.54,732571.8705
214.0820997,1046.81,444461.311,548537.91,679950.0167
214.082061,950.092,1064782.643,261689.064,822012.7379
214.9162636,37.847,18153.64615,18731.56169,10634.36138
215.0972917,1667.43,170114.9885,185278.9686,190373.4494
215.0939445,1482.95,216323.54,357995.1474,122394.0929
215.0947656,524.939,368422.5362,613676.5131,113419.7308
215.0973365,1776.21,197443.9404,87224.50333,320449.896
216.0848367,1771.91,56859.9,53860.83714,49833.09733
216.0849271,1672.14,84332.93429,126799.8653,112117.6721
216.0858968,524.939,259441.604,182115.4723,202828.4768
216.9257674,43.797,89928.43846,74130.36956,77079.31267
217.104111,116.217,16658.16528,10874.10322,13979.98412
218.1343222,73.746,185100.6311,218229.5852,163060.9937
218.1490932,1738.78,30570.40333,30681.67222,32949.49765
218.2110417,405.459,26331.02357,22367.14,20293.23533
218.9200432,43.797,35548.66417,34626.50692,44904.28533
219.1011669,467.0185,17382.687,20127.38867,18635.23783
219.210369,1043.12,18319.19444,24663.26,26045.72222
219.2096293,1297.31,22130.19,25113.02211,16129.56
219.1436093,73.229,38412.23013,40340.5075,37627.37368
220.1181216,114.577,29343.77413,20729.55453,29406.84
222.1480753,454.632,21092.04176,19804.25222,20825.80668
223.0951506,564.37,17538.99247,17450.96843,10500.12879
224.2124281,471.935,78507.73847,59287.92778,57587.18037
225.1949983,621.6645,40821.91019,24784.32667,24261.46635
225.1957188,1730.49,64240.55158,68936.95865,52621.01912
226.0467768,61.9,189156.3132,42073.31553,94136.4795
226.0156497,214.501,15478.38774,16238.177,15219.54241
226.1792454,1102.88,41908.36611,38521.86667,34609.43444
227.0781139,148.101,59365.24868,67109.07553,54770.6943
227.1262487,951.7325,32481.07886,29203.58343,22574.20255
227.2003546,1130.96,33887.43211,32770.23333,26083.04111
227.0473699,62.0615,20107.01535,19065.15594,21594.52575
228.1954142,1116.5,44568.61722,44778.64,31228.13235
229.1581046,63.63,80382.31476,107178.5482,275172.3284
230.1580841,63.63,27459.64757,33247.20588,37256.63843
230.8882124,1742.1,30599.48294,29462.08667,29003.10857
231.0814882,63.217,30453.4435,45142.81417,10894.60429
231.1742471,834.31,94280.65612,32363.90714,20552.56871
231.173812,969.075,39250.53613,39490.51922,24775.821
232.0312303,94.371,33161.33594,46238.324,53384.38608
232.1765631,834.3095,23082.60706,13868.1,11356.5121
232.152741,139.081,167480.3694,91521.17333,51520.48256
233.0906537,462.092,26926.16867,26107.42117,25913.85947
233.1574416,138.332,30389.68581,22885.61786,29049.02327
233.2272015,1297.35,16432.02,10681.19286,14659.20524
234.9805882,48.627,20673.6964,25674.993,41760.26081
235.1689759,846.529,40489.21211,7661.114545,25262.04887
236.0754798,60.11,295194.6527,183608.7406,293372.9918
236.071002,1735.49,45243.80969,39078.5376,28705.664
236.2359627,1213.89,11117.05778,8914.2,8721.64
237.0735172,43.258,53338.40621,57126.0878,64263.37094
270.2290681,1042.62,78896.28056,100066.17,25381.20889
237.9560469,349.128,47880.98095,37535.36195,38919.70926
238.0977553,317.12,60770.37694,76681.4685,76596.42059
238.2247149,1043.075,16988.51667,20457.44211,14657.19333
239.0946659,337.613,37630.69,39399.99294,36719.016
239.1633327,848.969,40187.525,49723.437,47143.80864
239.14776,169.274,52409.4375,46343.77712,44546.76172
239.2368099,1048.54,31793.20421,27078.06235,24561.82778
240.101589,91.585,35888.97461,50963.74106,37377.00038
240.0963756,317.12,28761.384,31053.4635,30918.9015
240.1584769,454.632,26865.8975,47934.23222,74878.80068
240.2312225,665.28,23323.97904,19437.8965,19620.1995
241.1537507,63.63,52254.98489,56163.00017,51936.91463
241.162454,453.802,16835.3622,18345.27273,17876.38364
241.2165919,1130.96,12868.34421,11412.2925,11645.03389
242.1296891,394.77,28010.02969,29212.38888,22478.48333
243.1333692,263.824,22894.407,18340.69172,22148.9055
243.2107377,1297.31,53681.44737,36243.89333,43200.84522
244.1282157,1738.78,13325.795,9901.813333,12993.78176
244.1903628,1116.5,30929.69294,12604.58444,21421.27556
244.1541827,190.58,25288.83567,22861.49667,22373.71271
339.1637249,1074.47,45231.16,45533.86842,43538.2052
245.1853078,268.728,24587.87312,26049.14007,28432.76567
246.169042,221.867,53884.38241,119273.2338,45587.63065
246.1448364,1737.95,39945.78167,38196.6,34954.87111
247.1357196,184.349,162283.9502,135130.9442,132767.5665
247.1747088,815.591,58216.20533,49090.67178,25560.2165
247.1684816,906.947,23544.10631,21320.72647,19493.86
247.1688981,960.081,21369.73521,11488.3065,19094.71667
247.154664,184.349,61900.89844,55430.70428,61359.46643
248.0925547,220.261,36386.36111,39508.43,18919.10043
283.2755294,1130.96,358404.3553,125479.3867,104845.2289
248.1467792,184.108,44242.24704,45487.87665,37674.078
250.9185307,51.9615,11133.453,9379.870571,11036.505
251.1246947,692.832,99152.30858,80522.68072,61576.01917
252.1299867,692.832,14465.16886,9273.3026,8852.244923
253.0971769,507.499,12826.03636,18286.36875,15762.56733
254.1364773,467.061,58434.44338,57515.44182,67932.74528
254.248003,950.912,18648.35657,14985.224,12305.59167
254.143279,467.061,67094.53553,43017.97871,34340.00356
255.228622,1042.69,31758.19333,85880.48667,22520.60038
256.1077698,317.12,57141.03286,49491.2066,49979.937
256.2593982,1015.62,94221.29444,84977.72333,77640.70737
352.3202586,1016.47,115827.025,33628.986,199821.348
490.651761,47.478,248774.6844,268584.6717,214545.4891
257.2250231,819.681,24927.5316,23518.24614,25892.95625
257.24902,1106.39,51509.22579,55299.00789,51897.4284
371.3528669,1296.51,198844.4914,239003.1852,158716.038
258.0082535,148.101,14339.63,14222.6135,7106.149889
258.1058557,317.12,21480.28513,19002.64065,19015.908
258.2059034,786.963,21723.63958,33416.53855,39386.19712
258.8166433,45.808,104795.4211,121117.9823,124459.4258
258.886365,1747.77,100087.44,105682.1662,84292.87733
259.1895509,895.866,26421.92937,26595.7072,32895.46847
260.1843762,320.4,85166.55056,77013.771,26170.668
261.0097888,47.277,16918.9955,19917.7145,13756.038
261.1846303,834.31,59667.65694,38583.25941,43186.06988
261.1849575,969.142,22922.95744,27011.37413,22006.19204
261.143115,182.323,51130.96847,45324.23068,42601.18358
261.2417567,910.644,32317.67233,32985.918,19823.04758
261.1887929,320.4,20183.88944,18256.125,19676.29529
261.1488863,1249.78,77622.12889,31358.23,50064.27263
262.1274927,61.02,25449.63363,33867.88691,25743.51281
280.1631041,1249.78,70820.26667,31331.22667,24967.31421
262.1643545,76.156,35128.88129,37542.72667,31388.05342
262.8570498,1747.77,112475.742,128694.179,94679.25704
263.1392066,251.524,15463.18374,14007.64783,13075.16033
263.2352823,1074.44,97515.535,28733.98667,156981.9095
263.235057,1018.16,77290.68111,26703.10824,63748.49
263.1648317,899.146,17981.175,11109.46689,16212.5418
263.2354992,1248.545,28185.436,27068.825,18595.32
264.1350931,531.467,27898.1892,27177.86057,23969.336
306.2507173,1073.58,80093.72368,77674.4,60162.73056
264.1956711,316.411,27483.40214,26805.87535,27086.94962
703.5625204,1275.77,3695924.43,170211.7261,512772.368
264.8514466,44.677,30720.68408,25652.95767,24962.8
265.1146921,220.261,47469.675,57165.06867,66731.82217
265.2516268,1076.14,81142.21556,123186,61793.91111
265.9813496,290.743,19132.84756,19797.96857,16767.53929
266.1254784,220.261,60748.50556,38492.49429,78483.03976
266.639348,820.501,26190.569,20345.89711,12942.47536
266.8486815,44.968,31509.4825,16114.66209,25224.666
267.1713893,122.757,80369.19994,70947.45083,76370.34348
267.1713816,865.408,21006.15,15720.49375,12430.65962
267.6476402,877.731,67656.26504,61022.16792,42612.2145
267.9786298,290.743,18717.44633,20222.59167,17551.63765
268.1734663,122.757,12693.29678,7342.940769,5706.747353
269.2250527,1042.7,145864.6,372798.0939,126677.8022
270.3120788,932.757,96245.40911,11835.97714,40846.374
270.2784665,1079.5,51932.14609,38829.59667,45250.07333
270.9602094,48.957,28863.09426,111993.3141,66625.829
271.3193906,932.757,57766.83067,29352.96,69270.32929
271.2731171,1135.99,89093.6,79546.41474,85333.9275
272.9492424,44.494,12284.5074,11376.88882,20558.06133
274.2729614,661.714,58522.61313,22329.6905,51159.10093
276.1359261,170.904,25701.44111,23738.706,26225.92306
276.1228498,275.734,20487.72424,18522.00896,18652.472
276.1431989,70.7175,172733.8216,127193.4859,172190.2874
277.215376,798.402,51066.52363,52446.56572,49367.25131
279.1613048,1109.67,239459.56,239757.3173,181968.9
279.1587524,930.323,23744.71894,229967.2619,198631.7576
279.1610779,1302.26,95622.36474,334297.6875,312905.9575
279.2269952,1022.39,48817.33333,76673.60556,45098.84706
279.1578147,1569.69,539811.0065,40002.56,233851.8609
279.1613506,1483.82,244933.9521,414647.8151,142799.0143
279.161122,1222.21,122010.88,125849.219,214418.9052
279.1591774,1724.55,214766.0408,578498.0445,561174.6627
279.6472597,854.708,48082.32544,46048.73684,40867.96553
280.1354655,54.9885,27446.08853,7671.16725,29188.00238
280.1630808,913.1045,89702.26,166204.9715,195615.6636
280.1524316,248.445,76819.59989,60290.20728,60767.76456
280.2392269,1022.28,44500.29412,48752.42353,42421.47481
280.2677379,988.221,50614.41131,37246.141,25883.47739
280.65579,906.546,60941.64363,77318.0052,41313.55612
281.2471314,1260.64,321539.5543,157291.9757,121221.8609
281.2461267,1074.44,78307.84,17691.32778,69401.25526
281.1639051,913.105,46343.63558,34987.15421,25489.03971
