"mz","tr","SPC.15V.1","SPC.30V.1","SPC.45V.1","mzinmgf","trinmgf","mz_ms2","int_ms2","CE"
110.0085427,38.4525,18084.252,13699.72667,12800.17313,110.00842,38,68.9848,8565,15
198.9417127,38.238,19914.32308,19094.08985,16233.11769,198.94007,38,84.9613,1664,15
214.9162636,37.847,18153.64615,18731.56169,10634.36138,214.917,38,158.0271,16249,15
362.924359,41.548,117523.0925,32303.11255,194986.5063,362.92583,40,226.9521,32944,15
